Station,Time,Pressure,Altitude,Temperature,Dewpoint,WD,WS
47122,1/1/2018 12:00,700,2942,-13.1,-20.1,305,39
47122,1/1/2018 12:00,850,1454,-9.1,-22.1,315,25
47122,1/1/2018 12:00,925,794,-4.1,-10.1,300,16
47122,1/1/2018 12:00,1000,173,0.2,-8.8,260,2
47122,1/1/2018 18:00,20,26250,-47.1,-81.1,245,23
47122,1/1/2018 18:00,30,23570,-49.1,-83.1,205,39
47122,1/1/2018 18:00,50,20310,-56.9,-87.9,255,35
47122,1/1/2018 18:00,70,18180,-62.5,-91.5,280,89
47122,1/1/2018 18:00,100,15970,-61.1,-91.1,275,113
47122,1/1/2018 18:00,150,13450,-59.5,-89.5,280,144
47122,1/1/2018 18:00,200,11620,-54.5,-86.5,285,128
47122,1/1/2018 18:00,250,10180,-50.3,-71.3,285,130
47122,1/1/2018 18:00,300,8990,-47.1,-64.1,280,107
47122,1/1/2018 18:00,400,7040,-36.3,-45.3,285,85
47122,1/1/2018 18:00,500,5460,-25.3,-41.3,290,73
47122,1/1/2018 18:00,700,2947,-12.5,-21.5,295,41
47122,1/1/2018 18:00,850,1457,-8.1,-21.1,305,26
47122,1/1/2018 18:00,925,795,-3.7,-9.7,290,17
47122,1/1/2018 18:00,1000,174,-0.9,-5.1,230,4
47122,1/2/2018 0:00,10,30960,-42.3,-78.3,230,38
47122,1/2/2018 0:00,20,26270,-42.5,-78.5,235,29
47122,1/2/2018 0:00,30,23560,-49.5,-82.5,215,42
47122,1/2/2018 0:00,50,20310,-55.3,-87.3,250,51
47122,1/2/2018 0:00,70,18170,-60.9,-90.9,270,99
47122,1/2/2018 0:00,100,15980,-63.9,-92.9,285,110
47122,1/2/2018 0:00,150,13470,-56.9,-87.9,275,133
47122,1/2/2018 0:00,200,11630,-52.3,-84.3,285,156
47122,1/2/2018 0:00,250,10180,-49.5,-80.5,280,147
47122,1/2/2018 0:00,300,8980,-47.3,-68.3,285,121
47122,1/2/2018 0:00,400,7040,-36.5,-45.5,285,93
47122,1/2/2018 0:00,500,5460,-26.1,-41.1,280,76
47122,1/2/2018 0:00,700,2947,-12.9,-21.9,295,53
47122,1/2/2018 0:00,850,1455,-8.5,-9.9,290,31
47122,1/2/2018 0:00,925,793,-4.1,-6.6,280,13
47122,1/2/2018 0:00,1000,174,-2.5,-5.1,325,3
47122,1/2/2018 6:00,10,31030,-36.1,-74.1,250,41
47122,1/2/2018 6:00,20,26310,-42.7,-78.7,210,33
47122,1/2/2018 6:00,30,23570,-47.3,-81.3,245,53
47122,1/2/2018 6:00,50,20320,-52.9,-84.9,300,4
47122,1/2/2018 6:00,70,18160,-59.7,-89.7,270,96
47122,1/2/2018 6:00,100,15990,-63.5,-92.5,285,99
47122,1/2/2018 6:00,150,13480,-57.3,-88.3,280,155
47122,1/2/2018 6:00,200,11650,-53.3,-85.3,290,161
47122,1/2/2018 6:00,250,10200,-48.5,-82.5,285,172
47122,1/2/2018 6:00,300,9000,-47.7,-65.7,295,144
47122,1/2/2018 6:00,400,7050,-34.9,-47.9,290,120
47122,1/2/2018 6:00,500,5450,-23.7,-33.7,280,94
47122,1/2/2018 6:00,700,2944,-13.1,-22.1,290,57
47122,1/2/2018 6:00,850,1452,-7.1,-9.6,290,31
47122,1/2/2018 6:00,925,789,-4.9,-14.9,315,18
47122,1/2/2018 6:00,1000,171,0.2,-13.8,325,8
47122,1/2/2018 12:00,10,30990,-42.3,-78.3,220,46
47122,1/2/2018 12:00,20,26290,-40.3,-76.3,230,25
47122,1/2/2018 12:00,30,23530,-52.5,-84.5,255,74
47122,1/2/2018 12:00,50,20310,-49.3,-82.3,220,24
47122,1/2/2018 12:00,70,18160,-64.7,-93.7,280,100
47122,1/2/2018 12:00,100,16010,-64.1,-93.1,275,83
47122,1/2/2018 12:00,150,13520,-61.5,-91.5,280,185
47122,1/2/2018 12:00,200,11700,-55.7,-86.7,285,183
47122,1/2/2018 12:00,250,10260,-48.3,-72.3,285,182
47122,1/2/2018 12:00,300,9040,-46.1,-51.1,280,141
47122,1/2/2018 12:00,400,7080,-32.5,-36,280,103
47122,1/2/2018 12:00,500,5470,-22.5,-26,285,89
47122,1/2/2018 12:00,700,2940,-12.9,-26.9,300,59
47122,1/2/2018 12:00,850,1444,-7.9,-21.9,315,39
47122,1/2/2018 12:00,925,787,-6.9,-16.9,315,18
47122,1/2/2018 12:00,1000,172,-1.9,-12.9,300,6
47122,1/2/2018 18:00,100,,,,,
47122,1/2/2018 18:00,150,13560,-62.9,-85.9,275,187
47122,1/2/2018 18:00,200,11750,-55.3,-68.3,290,190
47122,1/2/2018 18:00,250,10300,-48.5,-54.5,285,183
47122,1/2/2018 18:00,300,9080,-38.7,-48.7,285,160
47122,1/2/2018 18:00,400,7080,-31.3,-33.8,285,97
47122,1/2/2018 18:00,500,5470,-23.7,-27.4,285,77
47122,1/2/2018 18:00,700,2941,-15.3,-42.3,310,42
47122,1/2/2018 18:00,850,1454,-8.9,-25.9,325,24
47122,1/2/2018 18:00,925,797,-8.1,-20.1,335,18
47122,1/2/2018 18:00,1000,190,-5.5,-16.5,315,15
47122,1/3/2018 0:00,10,30950,-36.5,-74.5,195,18
47122,1/3/2018 0:00,20,26190,-46.5,-80.5,255,56
47122,1/3/2018 0:00,30,23500,-50.5,-83.5,250,45
47122,1/3/2018 0:00,50,20260,-63.3,-92.3,265,62
47122,1/3/2018 0:00,70,18190,-63.3,-92.3,290,93
47122,1/3/2018 0:00,100,16030,-67.3,-95.3,290,104
47122,1/3/2018 0:00,150,13560,-64.1,-93.1,280,195
47122,1/3/2018 0:00,200,11760,-54.9,-74.9,290,201
47122,1/3/2018 0:00,250,10310,-47.9,-57.9,285,179
47122,1/3/2018 0:00,300,9080,-37.7,-52.7,285,177
47122,1/3/2018 0:00,400,7070,-30.1,-47.1,295,122
47122,1/3/2018 0:00,500,5460,-23.9,-33.9,295,76
47122,1/3/2018 0:00,700,2934,-14.1,-59.1,315,47
47122,1/3/2018 0:00,850,1451,-9.7,-24.7,315,23
47122,1/3/2018 0:00,925,796,-8.9,-18.9,305,17
47122,1/3/2018 0:00,1000,194,-7.1,-17.1,325,11
47122,1/3/2018 6:00,10,31260,-35.9,-73.9,355,9
47122,1/3/2018 6:00,20,26480,-39.1,-76.1,265,48
47122,1/3/2018 6:00,30,23760,-46.1,-80.1,270,48
47122,1/3/2018 6:00,50,20450,-57.7,-88.7,265,67
47122,1/3/2018 6:00,70,18350,-60.1,-90.1,285,88
47122,1/3/2018 6:00,100,16160,-65.7,-93.7,275,105
47122,1/3/2018 6:00,150,13670,-61.1,-91.1,280,177
47122,1/3/2018 6:00,200,11860,-53.7,-70.7,285,187
47122,1/3/2018 6:00,250,10390,-44.5,-57.5,285,176
47122,1/3/2018 6:00,300,9150,-36.3,-49.3,285,162
47122,1/3/2018 6:00,400,7120,-28.9,-34.9,290,108
47122,1/3/2018 6:00,500,5490,-18.5,-62.5,300,88
47122,1/3/2018 6:00,700,2940,-12.1,-58.1,310,55
47122,1/3/2018 6:00,850,1451,-9.5,-25.5,330,25
47122,1/3/2018 6:00,925,797,-8.3,-16.3,320,10
47122,1/3/2018 6:00,1000,185,-2.5,-15.5,265,8
47122,1/3/2018 12:00,10,30920,-36.3,-74.3,20,6
47122,1/3/2018 12:00,20,26180,-44.3,-79.3,240,32
47122,1/3/2018 12:00,30,23510,-49.3,-82.3,265,43
47122,1/3/2018 12:00,50,20280,-63.7,-92.7,275,60
47122,1/3/2018 12:00,70,18220,-65.3,-94.3,290,88
47122,1/3/2018 12:00,100,16080,-69.9,-95.9,285,103
47122,1/3/2018 12:00,150,13620,-62.7,-76.7,280,171
47122,1/3/2018 12:00,200,11830,-56.5,-63.5,285,189
47122,1/3/2018 12:00,250,10390,-47.1,-52.1,280,164
47122,1/3/2018 12:00,300,9160,-38.9,-43.6,280,147
47122,1/3/2018 12:00,400,7130,-28.1,-32.7,285,114
47122,1/3/2018 12:00,500,5500,-18.3,-29.3,285,71
47122,1/3/2018 12:00,700,2937,-11.3,-57.3,320,47
47122,1/3/2018 12:00,850,1449,-10.9,-27.9,345,14
47122,1/3/2018 12:00,925,794,-7.1,-21.1,325,13
47122,1/3/2018 12:00,1000,184,-4.1,-12.1,310,13
47122,1/3/2018 18:00,20,26120,-49.1,-83.1,260,42
47122,1/3/2018 18:00,30,23480,,,250,47
47122,1/3/2018 18:00,50,20260,-63.7,-92.7,270,48
47122,1/3/2018 18:00,70,18200,-65.1,-94.1,285,79
47122,1/3/2018 18:00,100,16050,-68.9,-96.9,275,89
47122,1/3/2018 18:00,150,13600,-65.3,-79.3,275,167
47122,1/3/2018 18:00,200,11820,-58.3,-67.3,280,176
47122,1/3/2018 18:00,250,10390,-48.3,-55.3,275,153
47122,1/3/2018 18:00,300,9160,-38.7,-43.7,280,140
47122,1/3/2018 18:00,400,7130,-26.7,-30.7,280,101
47122,1/3/2018 18:00,500,5490,-18.9,-23.5,285,70
47122,1/3/2018 18:00,700,2939,-10.3,-57.3,300,33
47122,1/3/2018 18:00,850,1442,-8.7,-26.7,320,16
47122,1/3/2018 18:00,925,789,-10.9,-17.9,345,10
47122,1/3/2018 18:00,1000,186,-7.1,-14.1,310,9
47122,1/4/2018 0:00,10,30890,-36.5,-74.5,185,12
47122,1/4/2018 0:00,20,26160,-41.5,-77.5,245,42
47122,1/4/2018 0:00,30,23500,-54.9,-86.9,255,50
47122,1/4/2018 0:00,50,20260,-61.3,-91.3,275,69
47122,1/4/2018 0:00,70,18210,-64.1,-93.1,290,84
47122,1/4/2018 0:00,100,16050,-67.7,-95.7,270,87
47122,1/4/2018 0:00,150,13580,-63.5,-92.5,280,160
47122,1/4/2018 0:00,200,11800,-57.3,-68.3,275,172
47122,1/4/2018 0:00,250,10370,-49.1,-58.1,270,151
47122,1/4/2018 0:00,300,9150,-40.1,-45.1,275,128
47122,1/4/2018 0:00,400,7130,-27.1,-30.3,275,88
47122,1/4/2018 0:00,500,5500,-19.5,-26.5,290,54
47122,1/4/2018 0:00,700,2935,-10.5,-57.5,310,31
47122,1/4/2018 0:00,850,1434,-7.9,-23.9,335,18
47122,1/4/2018 0:00,925,778,-11.5,-20.5,360,4
47122,1/4/2018 0:00,1000,177,-7.9,-15.9,330,8
47122,1/4/2018 6:00,20,26140,-48.3,-82.3,250,55
47122,1/4/2018 6:00,30,23480,-53.7,-85.7,275,46
47122,1/4/2018 6:00,50,20250,-62.5,-91.5,260,71
47122,1/4/2018 6:00,70,18190,-64.7,-93.7,275,83
47122,1/4/2018 6:00,100,16040,-66.5,-94.5,265,83
47122,1/4/2018 6:00,150,13580,-64.3,-84.3,270,165
47122,1/4/2018 6:00,200,11790,-56.3,-68.3,270,166
47122,1/4/2018 6:00,250,10350,-50.7,-56.7,265,140
47122,1/4/2018 6:00,300,9140,-41.3,-46,270,118
47122,1/4/2018 6:00,400,7130,-26.3,-30,275,89
47122,1/4/2018 6:00,500,5490,-19.3,-24.2,265,42
47122,1/4/2018 6:00,700,2928,-10.5,-57.5,310,22
47122,1/4/2018 6:00,850,1422,-6.7,-23.7,350,4
47122,1/4/2018 6:00,925,761,-9.1,-15.1,30,9
47122,1/4/2018 6:00,1000,153,-3.9,-13.9,50,3
47122,1/4/2018 12:00,30,23440,-56.5,-87.5,255,35
47122,1/4/2018 12:00,50,20240,-63.7,-92.7,265,62
47122,1/4/2018 12:00,70,18170,-63.9,-92.9,275,83
47122,1/4/2018 12:00,100,16040,-66.5,-94.5,265,83
47122,1/4/2018 12:00,150,13580,-64.3,-84.3,270,165
47122,1/4/2018 12:00,200,11790,-56.3,-68.3,270,166
47122,1/4/2018 12:00,250,10350,-50.7,-56.7,265,140
47122,1/4/2018 12:00,300,9140,-41.3,-46,270,118
47122,1/4/2018 12:00,400,7130,-26.3,-30,275,89
47122,1/4/2018 12:00,500,5490,-19.3,-24.2,265,42
47122,1/4/2018 12:00,700,2928,-10.5,-57.5,310,22
47122,1/4/2018 12:00,850,1422,-6.7,-23.7,350,4
47122,1/4/2018 12:00,925,761,-9.1,-15.1,30,9
47122,1/4/2018 12:00,1000,153,-3.9,-13.9,50,3
47122,1/4/2018 18:00,100,,,,,
47122,1/4/2018 18:00,150,13480,-60.7,-90.7,270,137
47122,1/4/2018 18:00,200,11660,-54.1,-86.1,260,145
47122,1/4/2018 18:00,250,10210,-48.7,-77.7,255,137
47122,1/4/2018 18:00,300,9010,-45.1,-57.1,255,111
47122,1/4/2018 18:00,400,7040,-32.1,-35.3,260,72
47122,1/4/2018 18:00,500,5420,-21.9,-24.2,260,52
47122,1/4/2018 18:00,700,2900,-12.1,-58.1,285,18
47122,1/4/2018 18:00,850,1401,-6.7,-23.7,220,10
47122,1/4/2018 18:00,925,738,-6.1,-16.1,210,5
47122,1/4/2018 18:00,1000,127,-3.7,-11.7,305,2
47122,1/5/2018 0:00,20,26060,-46.1,-80.1,250,48
47122,1/5/2018 0:00,30,23420,-54.5,-86.5,260,56
47122,1/5/2018 0:00,50,20210,-59.5,-89.5,260,63
47122,1/5/2018 0:00,70,18110,-61.3,-91.3,280,77
47122,1/5/2018 0:00,100,15920,-64.9,-93.9,270,113
47122,1/5/2018 0:00,150,13420,-59.1,-89.1,270,124
47122,1/5/2018 0:00,200,11580,-51.1,-84.1,265,121
47122,1/5/2018 0:00,250,10120,-47.1,-81.1,265,119
47122,1/5/2018 0:00,300,8910,-45.7,-61.7,265,87
47122,1/5/2018 0:00,400,6970,-35.9,-39.6,275,44
47122,1/5/2018 0:00,500,5390,-27.9,-30.9,265,28
47122,1/5/2018 0:00,700,2882,-10.7,-57.7,310,26
47122,1/5/2018 0:00,850,1386,-7.3,-21.3,280,10
47122,1/5/2018 0:00,925,727,-8.3,-11.7,310,11
47122,1/5/2018 0:00,1000,118,-5.9,-9.7,295,3
47122,1/5/2018 6:00,20,26100,-45.7,-80.7,250,57
47122,1/5/2018 6:00,30,23430,-52.3,-85.3,265,52
47122,1/5/2018 6:00,50,20230,-60.5,-90.5,265,59
47122,1/5/2018 6:00,70,18120,-61.5,-91.5,290,67
47122,1/5/2018 6:00,100,15930,-62.9,-91.9,270,104
47122,1/5/2018 6:00,150,13410,-57.1,-88.1,270,115
47122,1/5/2018 6:00,200,11560,-50.1,-83.1,275,131
47122,1/5/2018 6:00,250,10090,-48.1,-82.1,275,128
47122,1/5/2018 6:00,300,8890,-47.5,-81.5,265,87
47122,1/5/2018 6:00,400,6960,-37.3,-71.3,275,57
47122,1/5/2018 6:00,500,5380,-28.1,-34.1,280,39
47122,1/5/2018 6:00,700,2880,-8.9,-44.9,295,23
47122,1/5/2018 6:00,850,1377,-8.1,-24.1,295,20
47122,1/5/2018 6:00,925,720,-7.3,-11.5,275,14
47122,1/5/2018 6:00,1000,104,-1.1,-10.1,265,8
47122,1/5/2018 12:00,10,30690,-45.3,-80.3,230,24
47122,1/5/2018 12:00,20,26080,-47.5,-81.5,255,68
47122,1/5/2018 12:00,30,23440,-52.3,-85.3,260,47
47122,1/5/2018 12:00,50,20230,-62.1,-91.1,260,67
47122,1/5/2018 12:00,70,18140,-63.7,-92.7,290,67
47122,1/5/2018 12:00,100,15940,-63.5,-92.5,270,103
47122,1/5/2018 12:00,150,13420,-57.5,-88.5,280,131
47122,1/5/2018 12:00,200,11570,-48.9,-82.9,280,130
47122,1/5/2018 12:00,250,10100,-48.5,-82.5,275,121
47122,1/5/2018 12:00,300,8900,-47.1,-73.1,290,112
47122,1/5/2018 12:00,400,6950,-36.9,-73.9,285,76
47122,1/5/2018 12:00,500,5380,-29.5,-43.5,300,44
47122,1/5/2018 12:00,700,2882,-13.1,-18.1,305,30
47122,1/5/2018 12:00,850,1383,-7.5,-24.5,315,20
47122,1/5/2018 12:00,925,724,-6.5,-9.6,300,15
47122,1/5/2018 12:00,1000,108,-2.1,-6.3,340,5
47122,1/5/2018 18:00,1000,127,-4.3,-8.1,285,5
47122,1/6/2018 0:00,20,26070,-47.1,-81.1,230,43
47122,1/6/2018 0:00,30,23420,-59.5,-89.5,270,64
47122,1/6/2018 0:00,50,20250,-57.1,-88.1,290,57
47122,1/6/2018 0:00,70,18170,-68.7,-96.7,280,79
47122,1/6/2018 0:00,100,,-65.1,-94.1,265,99
47122,1/6/2018 0:00,150,13490,-57.1,-88.1,280,123
47122,1/6/2018 0:00,200,11640,-49.3,-82.3,285,166
47122,1/6/2018 0:00,250,10170,-47.1,-81.1,280,149
47122,1/6/2018 0:00,300,8950,-42.5,-78.5,280,126
47122,1/6/2018 0:00,400,6990,-35.5,-63.5,290,92
47122,1/6/2018 0:00,500,5400,-25.7,-66.7,295,59
47122,1/6/2018 0:00,700,2902,-12.1,-45.1,320,40
47122,1/6/2018 0:00,850,1403,-7.1,-19.1,320,24
47122,1/6/2018 0:00,925,744,-7.3,-15.3,305,17
47122,1/6/2018 0:00,1000,132,-4.7,-10.7,330,6
47122,1/6/2018 6:00,10,30740,,,235,29
47122,1/6/2018 6:00,20,26080,-48.3,-82.3,255,56
47122,1/6/2018 6:00,30,23430,-54.3,-86.3,270,58
47122,1/6/2018 6:00,50,20240,-58.7,-89.7,290,53
47122,1/6/2018 6:00,70,18190,-64.9,-93.9,285,61
47122,1/6/2018 6:00,100,16020,-66.9,-94.9,275,97
47122,1/6/2018 6:00,150,13510,-56.3,-87.3,285,123
47122,1/6/2018 6:00,200,11670,-49.7,-82.7,275,167
47122,1/6/2018 6:00,250,10200,-47.5,-71.5,275,172
47122,1/6/2018 6:00,300,9000,-46.7,-58.7,280,122
47122,1/6/2018 6:00,400,7040,-33.7,-54.7,295,95
47122,1/6/2018 6:00,500,5440,-22.9,-64.9,305,69
47122,1/6/2018 6:00,700,2919,-9.9,-36.9,320,29
47122,1/6/2018 6:00,850,1409,-6.3,-22.3,320,21
47122,1/6/2018 6:00,925,748,-5.3,-16.3,300,9
47122,1/6/2018 6:00,1000,130,0,-14,315,8
47122,1/6/2018 12:00,10,30760,-44.5,-79.5,260,47
47122,1/6/2018 12:00,20,26110,-49.3,-82.3,260,68
47122,1/6/2018 12:00,30,23490,-55.9,-86.9,265,46
47122,1/6/2018 12:00,50,20300,-63.3,-92.3,280,55
47122,1/6/2018 12:00,70,18240,-64.5,-93.5,265,70
47122,1/6/2018 12:00,100,16070,-64.3,-93.3,275,87
47122,1/6/2018 12:00,150,13550,-57.5,-88.5,280,139
47122,1/6/2018 12:00,200,11710,-53.3,-85.3,270,174
47122,1/6/2018 12:00,250,10260,-48.7,-73.7,265,171
47122,1/6/2018 12:00,300,9060,-45.9,-51.9,275,111
47122,1/6/2018 12:00,400,7090,-32.7,-39.7,290,70
47122,1/6/2018 12:00,500,5490,-21.7,-54.7,320,62
47122,1/6/2018 12:00,700,2949,-9.5,-34.5,305,25
47122,1/6/2018 12:00,850,1425,-3.3,-29.3,340,14
47122,1/6/2018 12:00,925,760,-4.1,-15.1,320,4
47122,1/6/2018 12:00,1000,142,-1.7,-8.7,305,7
47122,1/6/2018 18:00,30,23500,-55.9,-86.9,250,62
47122,1/6/2018 18:00,50,20310,-61.7,-91.7,270,53
47122,1/6/2018 18:00,70,18250,-65.7,-93.7,280,75
47122,1/6/2018 18:00,100,16060,-60.5,-90.5,275,98
47122,1/6/2018 18:00,150,13540,-58.9,-88.9,270,149
47122,1/6/2018 18:00,200,11730,-56.9,-86.9,265,173
47122,1/6/2018 18:00,250,10300,-49.3,-82.3,265,146
47122,1/6/2018 18:00,300,9090,-42.5,-61.5,270,116
47122,1/6/2018 18:00,400,7120,-33.1,-39.1,275,35
47122,1/6/2018 18:00,500,5520,-23.3,-48.3,270,29
47122,1/6/2018 18:00,700,2958,-5.9,-53.9,330,24
47122,1/6/2018 18:00,850,1429,-1.5,-23.5,5,7
47122,1/6/2018 18:00,925,759,-3.3,-16.3,295,7
47122,1/6/2018 18:00,1000,142,-2.3,-6.2,135,3
47122,1/7/2018 0:00,10,30760,-42.9,-77.9,235,44
47122,1/7/2018 0:00,20,26090,-47.7,-81.7,255,59
47122,1/7/2018 0:00,30,23460,-56.7,-87.7,270,62
47122,1/7/2018 0:00,50,20280,-65.1,-94.1,270,46
47122,1/7/2018 0:00,70,18240,-65.5,-93.5,280,60
47122,1/7/2018 0:00,100,16060,-62.3,-91.3,270,93
47122,1/7/2018 0:00,150,13530,-58.1,-89.1,265,131
47122,1/7/2018 0:00,200,11720,-58.1,-86.1,260,155
47122,1/7/2018 0:00,250,10290,-50.3,-71.3,255,146
47122,1/7/2018 0:00,300,9080,-43.1,-68.1,260,123
47122,1/7/2018 0:00,400,7110,-34.3,-37.6,255,51
47122,1/7/2018 0:00,500,5500,-21.9,-24.8,250,36
47122,1/7/2018 0:00,700,2953,-4.7,-45.7,230,9
47122,1/7/2018 0:00,850,1422,0,-27,200,7
47122,1/7/2018 0:00,925,744,-1.1,-18.1,55,8
47122,1/7/2018 0:00,1000,125,-5.3,-9.7,80,11
47122,1/7/2018 6:00,10,30830,-41.1,-77.1,265,53
47122,1/7/2018 6:00,20,26160,-48.1,-82.1,260,62
47122,1/7/2018 6:00,30,23520,-55.7,-86.7,280,44
47122,1/7/2018 6:00,50,20310,-63.5,-92.5,265,55
47122,1/7/2018 6:00,70,18270,-66.5,-94.5,265,68
47122,1/7/2018 6:00,100,16060,-60.1,-90.1,270,106
47122,1/7/2018 6:00,150,13510,-57.3,-88.3,260,105
47122,1/7/2018 6:00,200,11680,-56.1,-87.1,250,126
47122,1/7/2018 6:00,250,10250,-51.1,-82.1,255,104
47122,1/7/2018 6:00,300,9050,-45.3,-65.3,260,89
47122,1/7/2018 6:00,400,7080,-32.9,-38.9,255,36
47122,1/7/2018 6:00,500,5480,-22.3,-26.4,245,42
47122,1/7/2018 6:00,700,2927,-11.1,-13.8,195,30
47122,1/7/2018 6:00,850,1406,-1.1,-41.1,200,12
47122,1/7/2018 6:00,925,732,-1.5,-19.5,205,8
47122,1/7/2018 6:00,1000,112,0.2,-9.8,145,1
47122,1/7/2018 12:00,150,13510,-53.7,-85.7,260,117
47122,1/7/2018 12:00,200,11660,-54.3,-74.3,260,112
47122,1/7/2018 12:00,250,10240,-53.3,-67.3,255,89
47122,1/7/2018 12:00,300,9050,-47.9,-52.6,250,68
47122,1/7/2018 12:00,400,7100,-33.5,-37.8,255,60
47122,1/7/2018 12:00,500,5490,-20.1,-26.1,255,55
47122,1/7/2018 12:00,700,2924,-6.7,-7.3,235,31
47122,1/7/2018 12:00,850,1405,-2.7,-14.7,220,18
47122,1/7/2018 12:00,925,731,-0.1,-18.1,215,13
47122,1/7/2018 12:00,1000,105,1.4,-8.6,40,3
47122,1/7/2018 18:00,100,16070,-60.5,-90.5,265,96
47122,1/7/2018 18:00,150,13510,-56.3,-87.3,260,130
47122,1/7/2018 18:00,200,11680,-54.3,-86.3,260,128
47122,1/7/2018 18:00,250,10230,-49.7,-64.7,260,126
47122,1/7/2018 18:00,300,9050,-48.9,-61.9,255,78
47122,1/7/2018 18:00,400,7090,-32.1,-52.1,265,46
47122,1/7/2018 18:00,500,5470,-18.9,-27.9,260,52
47122,1/7/2018 18:00,700,2900,-8.7,-9.5,250,42
47122,1/7/2018 18:00,850,1376,-2.5,-2.9,230,22
47122,1/7/2018 18:00,925,703,0.2,-3.6,245,3
47122,1/7/2018 18:00,1000,77,1,-8,60,2
47122,1/8/2018 0:00,10,30800,-40.3,-76.3,260,34
47122,1/8/2018 0:00,20,26140,-51.7,-68.7,255,36
47122,1/8/2018 0:00,30,23500,-53.7,-67.7,270,55
47122,1/8/2018 0:00,50,20310,-58.7,-73.7,270,32
47122,1/8/2018 0:00,70,18230,-62.9,-80.9,245,69
47122,1/8/2018 0:00,100,16020,-60.9,-76.9,260,109
47122,1/8/2018 0:00,150,13480,-57.9,-72.9,255,137
47122,1/8/2018 0:00,200,11650,-53.9,-67.9,255,146
47122,1/8/2018 0:00,250,10200,-49.5,-62.5,250,141
47122,1/8/2018 0:00,300,9000,-46.9,-54.9,240,105
47122,1/8/2018 0:00,400,7030,-32.9,-42.9,240,48
47122,1/8/2018 0:00,500,5420,-21.3,-24.2,225,41
47122,1/8/2018 0:00,700,2872,-7.5,-8.7,245,45
47122,1/8/2018 0:00,850,1348,-3.7,-6.1,280,11
47122,1/8/2018 0:00,925,678,-2.3,-5.4,330,9
47122,1/8/2018 0:00,1000,56,0.6,-3.9,135,1
47122,1/8/2018 6:00,10,30880,-40.9,-76.9,250,40
47122,1/8/2018 6:00,20,26210,-48.5,-82.5,265,66
47122,1/8/2018 6:00,30,23570,-50.7,-83.7,280,29
47122,1/8/2018 6:00,50,20350,-58.3,-89.3,265,38
47122,1/8/2018 6:00,70,18250,-65.3,-94.3,245,79
47122,1/8/2018 6:00,100,16040,-58.9,-88.9,250,91
47122,1/8/2018 6:00,150,13460,-55.7,-86.7,250,120
47122,1/8/2018 6:00,200,11620,-51.9,-84.9,250,144
47122,1/8/2018 6:00,250,10170,-48.9,-82.9,245,172
47122,1/8/2018 6:00,300,8970,-47.1,-54.1,250,116
47122,1/8/2018 6:00,400,7000,-32.1,-49.1,250,84
47122,1/8/2018 6:00,500,5390,-19.5,-33.5,235,68
